X1,X2,X3,X4,sec
0,0,0,0,0
7.058,-0.319,-5.078,-8,10
12.54,-9.126,-9.473,-9.845,20
1.389,-6.984,-3.06,-9.019,30
6.54,-6.138,6.691,-10.628,40
3.027,-1.501,2.058,1.227,50
108.386,103.78,108.943,102.098,60
88.669,88.372,97.997,102.462,70
92.936,86.553,97.131,91.419,80
83.568,67.499,85.978,77.26,90
77.684,61.63,74.708,69.647,100
71.974,63.585,75.281,66.853,110
73.144,64.842,69.827,71.559,120
67.5,54.569,66.045,68.772,130
65.578,51.256,67.747,61.86,140
59.923,59.573,68.591,57.356,150
63.953,48.947,55.611,51.799,160
59.546,50.142,66.548,53.778,170
58.701,53.392,60.311,43.437,180
65.124,46.479,60.879,47.077,190
56.229,46.331,60.034,52.093,200
58.664,43.236,55.273,56.795,210
57.271,45.002,59.747,52.84,220
55.833,46.689,51.631,46.368,230
59.205,56.248,52.027,42.408,240
56.769,50.314,49.059,46.092,250
53.704,52.325,54.529,39.868,260
56.152,51.887,55.026,38.426,270
59.785,48.324,55.213,37.858,280
51.01,50.523,56.652,36.058,290
54.836,44.251,51.415,47.596,300
57.858,61.475,55.895,35.856,310
59.726,57.847,55.676,36.826,320
47.105,57.519,53.709,36.336,330
61.442,47.284,59.422,37.308,340
59.067,50.103,46.186,43.159,350
45.857,50.997,48.317,40.602,360
62.151,46.39,52.98,38.856,370
51.075,46.23,55.72,41.35,380
56.655,56.238,61.165,35.541,390
47.989,55.599,49.268,39.959,400
50.212,56.522,58.054,34.409,410
51.771,53.614,62.302,47.752,420
50.585,48.867,59.372,39.953,430
45.616,61.974,50.76,35.371,440
51.123,57.542,47.282,40.109,450
55.113,54.217,55.742,42.27,460
49.752,61.311,54.502,42.344,470
48.739,47.946,54.46,46.427,480
45.416,64.579,48.201,39.136,490
55.052,58.446,54.514,40.23,500
51.211,62.996,56.069,49.344,510
53.5,48.237,58.463,34.489,520
58.146,51.458,56.522,40.428,530
54.073,59.64,58.118,34.449,540
54.622,53.808,54.823,39.587,550
49.357,52.546,49.144,40.343,560
54.781,62.483,46.027,41.439,570
54.81,53.599,59.923,41.708,580
54.476,51.524,51.363,44.419,590
50.954,49.339,52.936,32.441,600
51.92,51.987,49.699,26.396,610
54.573,50.344,56.282,33.776,620
55.376,61.901,50.49,35.326,630
47.379,47.497,49.515,33.52,640
44.564,53.91,55.982,32.798,650
